,flight.number,airline.name,arrival.iataCode,departure.iataCode,flight_duration_min
0,5,azul,afl,gyn,103.0
1,1144,gol,cgr,gru,55.0
2,1226,gol,cgr,cgh,50.26315789473684
3,1348,gol,cgr,gru,54.46969696969697
4,1414,gol,cgr,gru,54.166666666666664
5,1422,gol,cgr,cgb,71.0
6,1422,gol,cgr,gru,50.28061224489796
7,1458,gol,cgr,cgh,50.0
8,1470,gol,cgr,gru,50.0
9,1476,gol,cgr,cgh,50.55555555555556
10,1496,gol,cgr,gru,55.736196319018404
11,1504,gol,aju,gru,160.0
12,1534,gol,cgr,cgh,45.0
13,1538,gol,aju,gru,160.0
14,1900,air france,cgr,gru,50.0
15,1901,air france,cgr,gru,50.0
16,1902,air france,cgr,gru,50.0
17,1908,air france,cgr,gru,49.72222222222222
18,1930,air france,cgr,gru,50.0
19,1940,air france,cgr,gru,45.0
20,1950,air france,cgr,gru,55.0
21,1960,air france,aju,gru,160.0
22,1963,air france,cgr,gru,55.0
23,1965,air france,cgr,gru,55.810810810810814
24,2040,azul,fen,rec,165.0
25,2130,gol,aju,cnf,125.0
26,2136,gol,aju,ssa,55.0
27,2144,gol,aju,bsb,135.0
28,2246,voepass,fen,rec,158.1818181818182
29,2247,voepass,fen,rec,160.0
30,2248,voepass,fen,rec,160.0
31,2330,south african airways,cgr,gru,47.5
32,2338,azul,fen,nat,140.0
33,2338,south african airways,cgr,gru,50.0
34,2342,azul,aju,cnf,120.0
35,2345,south african airways,cgr,gru,55.0
36,2350,air europa,aju,gru,160.0
37,2350,voepass,fen,for,175.0
38,2350,voepass,fen,nat,126.0
39,2352,voepass,fen,nat,140.0
40,2361,azul,cgr,vcp,40.0
41,2370,voepass,fen,rec,160.0
42,2371,air europa,cgr,cgb,71.0
43,2371,air europa,cgr,gru,50.44117647058823
44,2372,voepass,fen,rec,160.0
45,2373,voepass,fen,rec,160.0
46,2417,azul,fen,rec,165.0
47,2494,azul,aju,cgh,155.0
48,2497,azul,aju,cnf,125.0
49,2514,azul,fen,rec,165.0
50,2567,azul,cgr,vcp,37.1875
51,2623,azul,cgr,cwb,30.0
52,2650,azul,cgr,cwb,30.0
53,2657,azul,cgr,cwb,36.666666666666664
54,2662,azul,cgr,cwb,30.714285714285715
55,2670,air europa,aju,gru,160.0
56,2671,azul,aju,rec,80.0
57,2677,azul,cgr,cwb,32.666666666666664
58,2691,air europa,cgr,gru,55.57788944723618
59,2700,azul,cgr,vcp,37.5503355704698
60,2713,azul,cgr,rao,55.0
61,2713,azul,cgr,vcp,37.945736434108525
62,2718,azul,aju,rec,80.0
63,2720,azul,atm,bel,60.0
64,2742,azul,aju,rec,80.0
65,2742,azul,cgr,vcp,35.0
66,2820,azul,fen,rec,165.0
67,2992,azul,aju,rec,80.0
68,3119,latam airlines,cgr,gru,50.091743119266056
69,3126,latam airlines,cgr,gru,46.98924731182796
70,3128,latam airlines,cgr,gru,49.32835820895522
71,3130,latam airlines,cgr,gru,50.51724137931034
72,3176,latam airlines,cgr,cgh,49.727722772277225
73,3178,latam airlines,cgr,cgh,45.0
74,3220,latam airlines,aju,gru,155.0
75,3222,latam airlines,aju,gru,155.0
76,3224,latam airlines,aju,gru,155.0
77,3427,latam airlines,cgr,bsb,45.0
78,3506,copa airlines,cgr,gru,55.0
79,3534,latam airlines,cgr,gru,44.333333333333336
80,3570,copa airlines,cgr,gru,50.0
81,3572,copa airlines,cgr,gru,50.0
82,3577,copa airlines,aju,gru,160.0
83,3579,copa airlines,cgr,gru,55.0
84,3586,copa airlines,cgr,gru,54.2
85,3597,copa airlines,cgr,gru,55.0
86,3606,copa airlines,cgr,cgb,71.0
87,3606,copa airlines,cgr,gru,50.51912568306011
88,3645,emirates,aju,gru,160.0
89,3700,latam airlines,aju,bsb,121.66666666666667
90,3716,latam airlines,cgr,bsb,44.64467005076142
91,3718,latam airlines,cgr,bsb,45.0
92,3725,emirates,cgr,gru,55.35175879396985
93,3741,copa airlines,aju,gru,160.0
94,3806,latam airlines,cgr,bsb,40.0
95,3819,latam airlines,cgr,gru,49.93197278911565
96,3842,latam airlines,aju,bsb,120.0
97,4001,tap air portugal,cgr,gru,55.0
98,4003,tap air portugal,cgr,gru,55.0
99,4005,azul,aju,cnf,120.0
100,4005,tap air portugal,cgr,cgb,71.0
101,4005,tap air portugal,cgr,gru,54.72222222222222
102,4021,tap air portugal,cgr,gru,50.0
103,4042,tap air portugal,cgr,gru,46.73076923076923
104,4049,tap air portugal,cgr,gru,55.0
105,4057,tap air portugal,cgr,gru,58.84615384615385
106,4059,tap air portugal,cgr,gru,53.666666666666664
107,4075,tap air portugal,cgr,gru,55.0
108,4080,tap air portugal,cgr,gru,50.0
109,4096,ethiopian airlines,cgr,gru,55.0
110,4098,ethiopian airlines,cgr,gru,51.666666666666664
111,4102,ethiopian airlines,cgr,gru,55.0
112,4102,tap air portugal,cgr,gru,59.11764705882353
113,4104,tap air portugal,cgr,gru,55.0
114,4106,ethiopian airlines,cgr,gru,54.23076923076923
115,4108,ethiopian airlines,aju,gru,160.0
116,4120,ethiopian airlines,aju,gru,160.0
117,4124,ethiopian airlines,cgr,gru,55.0
118,4125,tap air portugal,cgr,gru,55.0
119,4128,ethiopian airlines,cgr,gru,50.0
120,4129,tap air portugal,aju,gru,160.0
121,4130,ethiopian airlines,cgr,gru,55.0
122,4132,ethiopian airlines,cgr,gru,55.75
123,4143,azul,cgr,cgb,70.0
124,4143,tap air portugal,cgr,gru,55.0
125,4148,ethiopian airlines,cgr,gru,48.8013698630137
126,4152,ethiopian airlines,cgr,gru,55.0
127,4155,azul,cgr,cgb,70.0
128,4156,tap air portugal,cgr,gru,50.0
129,4159,azul,cgr,cgb,70.0
130,4164,ethiopian airlines,cgr,gru,55.0
131,4174,ethiopian airlines,cgr,gru,55.0
132,4176,ethiopian airlines,cgr,gru,55.0
133,4218,azul,atm,bel,60.0
134,4255,azul,fen,rec,164.86928104575162
135,4266,azul,fen,rec,165.0
136,4272,azul,cgr,cgb,70.0
137,4282,azul,cgr,rao,55.0
138,4282,azul,cgr,vcp,37.05714285714286
139,4403,azul,fen,rec,165.0
140,4466,azul,fen,nat,135.0
141,4466,azul,fen,rec,165.0
142,4534,azul,afl,cgb,75.0
143,4617,sa avianca,cgr,gru,53.333333333333336
144,4624,sa avianca,cgr,gru,50.0
145,4632,latam airlines,aju,gru,159.72222222222223
146,4636,latam airlines,cgr,cgh,47.857142857142854
147,4637,sa avianca,cgr,gru,55.0
148,4651,sa avianca,cgr,gru,55.0
149,4663,sa avianca,cgr,gru,53.75
150,4677,sa avianca,cgr,gru,59.44444444444444
151,4678,sa avianca,aju,gru,160.0
152,4683,sa avianca,cgr,gru,55.0
153,4692,latam airlines,cgr,cgh,48.75
154,4711,sa avianca,cgr,gru,50.0
155,4718,azul,fen,rec,165.0
156,4795,sa avianca,cgr,cgb,71.0
157,4795,sa avianca,cgr,gru,49.917582417582416
158,4845,qatar airways,cgr,gru,47.5
159,4846,qatar airways,cgr,gru,50.0
160,4849,qatar airways,cgr,gru,50.0
161,4877,azul,cgr,vcp,36.88953488372093
162,5049,azul,fen,nat,140.0
163,5104,qatar airways,aju,gru,155.0
164,5110,qatar airways,cgr,gru,50.0
165,5113,qatar airways,cgr,gru,50.55555555555556
166,5114,qatar airways,cgr,gru,48.888888888888886
167,5118,qatar airways,cgr,gru,49.80769230769231
168,5119,qatar airways,cgr,gru,50.0
169,5121,qatar airways,cgr,gru,50.0
170,5121,tap air portugal,aju,rec,80.0
171,5124,qatar airways,cgr,gru,51.666666666666664
172,5125,qatar airways,cgr,gru,50.0
173,5127,qatar airways,cgr,gru,50.714285714285715
174,5134,qatar airways,cgr,gru,46.875
175,5135,qatar airways,cgr,gru,50.0
176,5136,qatar airways,aju,gru,155.0
177,5138,qatar airways,cgr,gru,45.0
178,5147,qatar airways,cgr,gru,50.0
179,5152,qatar airways,cgr,gru,50.0
180,5157,qatar airways,cgr,gru,50.0
181,5158,qatar airways,cgr,gru,50.0
182,5162,qatar airways,cgr,gru,50.091743119266056
183,5202,qatar airways,cgr,gru,45.714285714285715
184,5206,qatar airways,cgr,gru,49.9290780141844
185,5229,tap air portugal,fen,rec,165.0
186,5232,qatar airways,cgr,gru,48.75
187,5233,qatar airways,cgr,gru,50.0
188,5262,tap air portugal,fen,nat,135.0
189,5262,tap air portugal,fen,rec,165.0
190,5286,qatar airways,cgr,gru,50.0
191,5339,azul,jia,air,50.0
192,5353,tap air portugal,aju,rec,80.0
193,5407,tap air portugal,fen,rec,165.0
194,5552,jet linx aviation,cgr,gru,47.59803921568628
195,5582,azul,atm,bel,110.0
196,5939,azul,jia,cgb,120.0
197,5950,azul,atm,bel,109.0
198,5982,azul,atm,bel,110.0
199,5995,tap air portugal,aju,gru,160.0
200,6000,delta air lines,cgr,gru,50.0
201,6002,delta air lines,cgr,gru,50.0
202,6005,delta air lines,cgr,gru,50.0
203,6008,delta air lines,cgr,gru,45.0
204,6012,delta air lines,cgr,gru,45.0
205,6015,delta air lines,cgr,gru,50.0
206,6017,delta air lines,cgr,gru,50.0
207,6019,delta air lines,cgr,gru,50.0
208,6020,delta air lines,cgr,gru,42.5
209,6021,delta air lines,cgr,gru,50.0
210,6021,tap air portugal,fen,rec,165.0
211,6022,delta air lines,cgr,gru,50.0
212,6024,delta air lines,cgr,gru,45.0
213,6025,delta air lines,cgr,gru,50.0
214,6026,delta air lines,aju,gru,155.0
215,6026,delta air lines,cgr,gru,50.0
216,6028,delta air lines,aju,gru,155.0
217,6028,delta air lines,cgr,gru,50.0
218,6030,delta air lines,cgr,gru,45.0
219,6033,delta air lines,cgr,gru,50.0
220,6034,delta air lines,cgr,gru,50.0
221,6035,delta air lines,cgr,gru,50.0
222,6039,delta air lines,cgr,gru,45.0
223,6042,delta air lines,cgr,gru,50.0
224,6043,delta air lines,cgr,gru,42.5
225,6045,delta air lines,cgr,gru,50.625
226,6046,delta air lines,cgr,gru,50.0
227,6047,delta air lines,cgr,gru,50.0
228,6072,tap air portugal,fen,rec,165.0
229,6095,delta air lines,cgr,gru,48.333333333333336
230,6098,delta air lines,cgr,gru,45.0
231,6100,delta air lines,cgr,gru,50.0
232,6102,delta air lines,cgr,gru,50.0
233,6109,delta air lines,aju,gru,155.0
234,6121,delta air lines,cgr,gru,50.0
235,6122,delta air lines,cgr,gru,45.0
236,6169,delta air lines,aju,gru,155.0
237,6175,delta air lines,cgr,gru,46.98924731182796
238,6177,delta air lines,cgr,gru,49.32835820895522
239,6197,delta air lines,cgr,gru,50.0
240,6221,delta air lines,cgr,gru,50.0
241,6226,delta air lines,cgr,gru,50.0
242,6227,delta air lines,cgr,gru,50.0
243,6241,delta air lines,cgr,gru,50.0
244,6246,delta air lines,cgr,gru,50.0
245,6247,delta air lines,cgr,gru,50.0
246,6248,delta air lines,cgr,gru,50.0
247,6254,delta air lines,cgr,gru,50.0
248,6255,delta air lines,cgr,gru,50.0
249,6260,delta air lines,cgr,gru,50.0
250,6264,delta air lines,cgr,gru,50.0
251,6266,delta air lines,cgr,gru,50.0
252,6267,delta air lines,cgr,gru,50.0
253,6272,delta air lines,cgr,gru,50.0
254,6278,delta air lines,cgr,gru,49.5
255,6280,delta air lines,cgr,gru,50.0
256,6287,delta air lines,cgr,gru,50.0
257,6289,delta air lines,cgr,gru,50.0
258,6294,delta air lines,aju,gru,155.0
259,6299,delta air lines,cgr,gru,50.0
260,6302,delta air lines,cgr,gru,50.0
261,6303,delta air lines,cgr,gru,50.0
262,6305,delta air lines,cgr,gru,50.0
263,6306,delta air lines,cgr,gru,50.0
264,6314,delta air lines,cgr,gru,50.0
265,6316,delta air lines,cgr,gru,50.0
266,6318,delta air lines,cgr,gru,50.0
267,6320,delta air lines,cgr,gru,50.0
268,6323,delta air lines,cgr,gru,50.0
269,6334,delta air lines,cgr,gru,50.0
270,6335,delta air lines,cgr,gru,50.0
271,6337,delta air lines,cgr,gru,50.0
272,6339,delta air lines,aju,gru,155.0
273,6339,delta air lines,cgr,gru,50.0
274,6512,iberia,cgr,gru,50.0
275,6520,air canada,ac,gru,70.0
276,6525,alitalia,cgr,gru,70.0
277,6715,delta air lines,cgr,gru,50.0
278,6718,delta air lines,cgr,gru,50.0
279,6729,delta air lines,cgr,gru,50.0
280,6730,delta air lines,cgr,gru,50.0
281,6731,delta air lines,cgr,gru,50.0
282,6733,delta air lines,cgr,gru,50.0
283,6734,delta air lines,cgr,gru,51.666666666666664
284,6735,delta air lines,cgr,gru,51.0
285,6736,delta air lines,cgr,gru,50.0
286,7031,iberia,cgr,gru,49.64102564102564
287,7251,qatar airways,aju,gru,159.72222222222223
288,7259,qatar airways,cgr,gru,50.0
289,7267,qatar airways,cgr,gru,50.0
290,7271,qatar airways,cgr,gru,50.0
291,7285,qatar airways,cgr,gru,50.0
292,7286,qatar airways,cgr,gru,45.0
293,7333,united airlines,cgr,gru,70.0
294,7360,delta air lines,aju,gru,155.0
295,7360,delta air lines,cgr,gru,50.0
296,7363,delta air lines,cgr,gru,50.0
297,7367,delta air lines,cgr,gru,50.476190476190474
298,7370,delta air lines,cgr,gru,48.57142857142857
299,7371,delta air lines,cgr,gru,51.07142857142857
300,7373,delta air lines,cgr,gru,50.0
301,7378,delta air lines,cgr,gru,50.0
302,7380,delta air lines,cgr,gru,45.0
303,7381,delta air lines,cgr,gru,50.0
304,7383,delta air lines,cgr,gru,50.0
305,7390,delta air lines,cgr,gru,50.0
306,7402,delta air lines,aju,gru,160.0
307,7402,delta air lines,cgr,gru,50.0
308,7403,delta air lines,cgr,gru,50.0
309,7404,delta air lines,cgr,gru,50.0
310,7405,delta air lines,cgr,gru,50.0
311,7409,delta air lines,cgr,gru,50.0
312,7410,delta air lines,cgr,gru,50.0
313,7411,delta air lines,cgr,gru,50.0
314,7413,delta air lines,cgr,gru,50.0
315,7415,delta air lines,cgr,gru,50.0
316,7423,delta air lines,cgr,gru,50.0
317,7632,aerolineas argentinas,cgr,cgb,71.0
318,7632,aerolineas argentinas,cgr,gru,55.0
319,7634,aerolineas argentinas,aju,gru,160.0
320,7700,american airlines,cgr,gru,54.53947368421053
321,7701,american airlines,cgr,gru,54.2
322,7776,american airlines,aju,gru,160.0
323,7778,american airlines,aju,gru,160.0
324,7846,latam airlines,fen,rec,158.1818181818182
325,7848,latam airlines,fen,rec,160.0
326,7928,aeromexico,cgr,gru,50.27777777777778
327,8088,aeromexico,aju,gru,160.0
328,8163,aeromexico,cgr,cgb,71.0
329,8163,aeromexico,cgr,gru,54.956896551724135
330,8413,qatar airways,cgr,gru,48.888888888888886
331,8496,aeromexico,cgr,gru,50.0
332,8500,aeromexico,aju,gru,155.0
333,8510,aeromexico,cgr,gru,49.28217821782178
334,8611,latam airlines,fen,for,175.0
335,8611,latam airlines,fen,nat,126.0
336,8614,latam airlines,fen,nat,140.0
337,8901,latam airlines,fen,rec,160.0
338,8908,latam airlines,fen,rec,160.0
339,9015,azul,fen,rec,160.0
340,9022,azul,fen,rec,165.0
341,9025,azul,aju,cnf,120.0
342,9030,azul,aju,rec,80.0
343,9035,azul,fen,rec,165.0
344,9051,azul,fen,rec,165.0
345,9054,azul,cgr,vcp,40.0
346,9058,azul,cgr,vcp,35.0
347,9060,gol,aju,cgh,160.0
348,9060,gol,cgr,cgh,50.0
349,9067,azul,cgr,vcp,35.0
350,9082,gol,cgr,gig,85.0
351,9122,gol,cgr,gru,50.0
352,9126,azul,fen,rec,165.0
353,9168,azul,cgr,gig,60.0
354,9228,gol,cgr,cgh,50.0
355,9326,klm,aju,gru,160.0
356,9338,klm,cgr,gru,56.96078431372549
357,9350,azul,fen,rec,159.66666666666666
358,9352,azul,fen,rec,162.5
359,9354,azul,fen,rec,165.0
360,9358,klm,cgr,gig,85.0
361,9378,klm,cgr,gru,55.0
362,9382,klm,cgr,gru,55.0
363,9557,gol,cgr,poa,70.0
364,9655,gol,cgr,gru,40.0
